time,,values
11:21:35,40895.52,148
11:21:35,40895.53,-269
11:21:35,40895.54,-492
11:21:35,40895.55,-519
11:21:35,40895.56,-453
11:21:35,40895.57,-383
11:21:35,40895.58,-302
11:21:35,40895.59,-202
11:21:35,40895.60,-120
11:21:35,40895.61,-129
11:21:35,40895.62,-189
11:21:35,40895.63,-135
11:21:35,40895.64,-129
11:21:35,40895.65,22
11:21:35,40895.66,34
11:21:35,40895.66,145
11:21:35,40895.68,151
11:21:35,40895.68,179
11:21:35,40895.70,180
11:21:35,40895.70,206
11:21:35,40895.71,214
11:21:35,40895.73,249
11:21:35,40895.73,220
11:21:35,40895.75,185
11:21:35,40895.75,105
11:21:35,40895.77,-32
11:21:35,40895.77,-140
11:21:35,40895.79,-138
11:21:35,40895.80,-71
11:21:35,40895.80,-129
11:21:35,40895.82,-158
11:21:35,40895.82,-240
11:21:35,40895.84,-144
11:21:35,40895.84,-191
11:21:35,40895.86,-140
11:21:35,40895.86,-145
11:21:35,40895.88,-145
11:21:35,40895.89,-208
11:21:35,40895.89,-151
11:21:35,40895.91,-152
11:21:35,40895.91,-30
11:21:35,40895.93,-106
11:21:35,40895.93,-40
11:21:35,40895.95,-145
11:21:35,40895.95,-83
11:21:35,40895.96,-108
11:21:35,40895.98,14
11:21:35,40895.98,58
11:21:35,40896.00,30
11:21:36,40896.00,28
11:21:36,40896.02,-59
11:21:36,40896.02,14
11:21:36,40896.04,-8
11:21:36,40896.05,125
11:21:36,40896.05,169
11:21:36,40896.07,257
11:21:36,40896.07,234
11:21:36,40896.09,252
11:21:36,40896.09,212
11:21:36,40896.11,130
11:21:36,40896.11,2
11:21:36,40896.13,-78
11:21:36,40896.14,-190
11:21:36,40896.15,-132
11:21:36,40896.16,-178
11:21:36,40896.17,-149
11:21:36,40896.18,-258
11:21:36,40896.19,-251
11:21:36,40896.20,-92
11:21:36,40896.21,316
11:21:36,40896.22,758
11:21:36,40896.23,1124
11:21:36,40896.24,1174
11:21:36,40896.25,982
11:21:36,40896.26,617
11:21:36,40896.27,141
11:21:36,40896.28,-274
11:21:36,40896.29,-524
11:21:36,40896.30,-564
11:21:36,40896.31,-483
11:21:36,40896.32,-451
11:21:36,40896.33,-326
11:21:36,40896.34,-272
11:21:36,40896.35,-146
11:21:36,40896.36,-206
11:21:36,40896.37,-118
11:21:36,40896.38,-169
11:21:36,40896.39,-50
11:21:36,40896.40,-24
11:21:36,40896.41,63
11:21:36,40896.42,45
11:21:36,40896.43,69
11:21:36,40896.44,83
11:21:36,40896.45,144
11:21:36,40896.46,150
11:21:36,40896.47,191
11:21:36,40896.48,171
11:21:36,40896.49,160
11:21:36,40896.50,91
11:21:36,40896.51,30
11:21:36,40896.52,-125
11:21:36,40896.53,-177
11:21:36,40896.54,-286
11:21:36,40896.55,-209
11:21:36,40896.56,-248
11:21:36,40896.57,-185
11:21:36,40896.58,-193
11:21:36,40896.59,-188
11:21:36,40896.60,-251
11:21:36,40896.61,-199
11:21:36,40896.62,-198
11:21:36,40896.63,-83
11:21:36,40896.64,-153
11:21:36,40896.65,-83
11:21:36,40896.66,-118
11:21:36,40896.67,-85
11:21:36,40896.68,-72
11:21:36,40896.69,11
11:21:36,40896.70,-24
11:21:36,40896.71,-10
11:21:36,40896.72,-109
11:21:36,40896.73,-25
11:21:36,40896.74,-74
11:21:36,40896.75,-23
11:21:36,40896.76,-39
11:21:36,40896.77,-34
11:21:36,40896.78,-104
11:21:36,40896.79,-23
11:21:36,40896.80,121
11:21:36,40896.81,271
11:21:36,40896.81,286
11:21:36,40896.81,236
11:21:36,40896.81,203
11:21:36,40896.81,146
11:21:36,40896.81,13
11:21:36,40896.81,-129
11:21:36,40896.81,-142
11:21:36,40896.81,-163
11:21:36,40896.81,-143
11:21:36,40896.81,-260
11:21:36,40896.81,-249
11:21:36,40896.81,-109
11:21:36,40896.81,217
11:21:36,40896.81,496
11:21:36,40896.81,838
11:21:36,40896.81,1008
11:21:36,40896.81,1058
11:21:36,40896.81,880
11:21:36,40896.81,579
11:21:37,40896.81,172
11:21:37,40896.81,-289
11:21:37,40896.81,-567
11:21:37,40896.81,-586
11:21:37,40896.81,-490
11:21:37,40896.81,-443
11:21:37,40896.81,-285
11:21:37,40896.81,-243
11:21:37,40896.81,-138
11:21:37,40896.81,-185
11:21:37,40896.81,-123
11:21:37,40896.81,-125
11:21:37,40896.81,-15
11:21:37,40896.81,-58
11:21:37,40896.81,-4
11:21:37,40896.81,-20
11:21:37,40896.81,108
11:21:37,40896.81,126
11:21:37,40896.81,173
11:21:37,40896.81,196
11:21:37,40896.81,221
11:21:37,40896.81,198
11:21:37,40896.81,192
11:21:37,40896.81,158
11:21:37,40896.81,112
11:21:37,40896.81,25
11:21:37,40896.81,-70
11:21:37,40896.81,-185
11:21:37,40896.81,-236
11:21:37,40896.81,-240
11:21:37,40896.81,-132
11:21:37,40896.81,-175
11:21:37,40896.81,-138
11:21:37,40896.81,-238
11:21:37,40896.81,-135
11:21:37,40896.81,-191
11:21:37,40896.81,-119
11:21:37,40896.81,-158
11:21:37,40896.81,-124
11:21:37,40896.81,-208
11:21:37,40896.81,-145
11:21:37,40896.81,-161
11:21:37,40896.81,-39
11:21:37,40896.81,-111
11:21:37,40896.81,-30
11:21:37,40896.81,-84
11:21:37,40896.81,-31
11:21:37,40896.81,-54
11:21:37,40896.81,-49
11:21:37,40896.81,-116
11:21:37,40896.81,-65
11:21:37,40896.81,-71
11:21:37,40896.81,73
11:21:37,40896.81,98
11:21:37,40896.81,237
11:21:37,40896.81,254
11:21:37,40896.81,276
11:21:37,40896.81,255
11:21:37,40896.81,240
11:21:37,40896.81,197
11:21:37,40896.81,141
11:21:37,40896.81,-5
11:21:37,40896.81,-53
11:21:37,40896.81,-134
11:21:37,40896.81,-89
11:21:37,40896.81,-197
11:21:37,40896.81,-243
11:21:37,40896.81,-319
11:21:37,40896.81,-116
11:21:37,40896.81,167
11:21:37,40896.81,695
11:21:37,40896.81,987
11:21:37,40896.81,1121
11:21:37,40896.81,844
11:21:37,40896.81,313
11:21:37,40896.81,-218
11:21:37,40896.81,-526
11:21:37,40896.81,-540
11:21:37,40896.81,-450
11:21:37,40896.81,-383
11:21:37,40896.81,-246
11:21:37,40896.81,-187
11:21:37,40896.81,-118
11:21:37,40896.81,-129
11:21:37,40896.81,-103
11:21:37,40896.81,-69
11:21:37,40896.81,1
11:21:37,40896.81,-23
11:21:37,40896.81,18
11:21:37,40896.81,22
11:21:37,40896.81,141
11:21:37,40896.81,152
11:21:37,40896.81,185
11:21:37,40896.81,218
11:21:37,40896.81,254
11:21:37,40896.81,238
11:21:37,40896.81,239
11:21:37,40896.81,195
11:21:37,40896.81,157
11:21:38,40896.81,73
11:21:38,40896.81,-60
11:21:38,40896.81,-154
11:21:38,40896.81,-242
11:21:38,40896.81,-301
11:21:38,40896.81,-234
11:21:38,40896.81,-242
11:21:38,40896.81,-116
11:21:38,40896.81,-190
11:21:38,40896.81,-118
11:21:38,40896.81,-151
11:21:38,40896.81,-120
11:21:38,40896.81,-208
11:21:38,40896.81,-146
11:21:38,40896.81,-164
11:21:38,40896.81,-35
11:21:38,40896.81,-110
11:21:38,40896.81,-32
11:21:38,40896.81,-88
11:21:38,40896.81,-35
11:21:38,40896.81,-52
11:21:38,40896.81,49
11:21:38,40896.81,3
11:21:38,40896.81,30
11:21:38,40896.81,-82
11:21:38,40896.81,5
11:21:38,40896.81,-60
11:21:38,40896.81,11
11:21:38,40896.81,-18
11:21:38,40896.81,111
11:21:38,40896.81,153
11:21:38,40896.81,238
11:21:38,40896.81,229
11:21:38,40896.81,246
11:21:38,40896.81,207
11:21:38,40896.81,137
11:21:38,40896.81,1
11:21:38,40896.81,-63
11:21:38,40896.81,-100
11:21:38,40896.81,-99
11:21:38,40896.81,-174
11:21:38,40896.81,-250
11:21:38,40896.81,-264
11:21:38,40896.81,-126
11:21:38,40896.81,295
11:21:38,40896.81,733
11:21:38,40896.81,1102
11:21:38,40896.81,1029
11:21:38,40896.81,763
11:21:38,40896.81,438
11:21:38,40896.81,106
11:21:38,40896.81,-215
11:21:38,40896.81,-476
11:21:38,40896.81,-503
11:21:38,40896.81,-342
11:21:38,40896.81,-259
11:21:38,40896.81,-217
11:21:38,40896.81,-198
11:21:38,40896.81,-93
11:21:38,40896.81,-28
11:21:38,40896.81,-94
11:21:38,40896.81,-106
11:21:38,40896.81,-96
11:21:38,40896.81,16
11:21:38,40896.81,8
11:21:38,40896.81,20
11:21:38,40896.81,37
11:21:38,40896.81,78
11:21:38,40896.81,83
11:21:38,40896.81,107
11:21:38,40896.81,103
11:21:38,40896.81,142
11:21:38,40896.81,128
11:21:38,40896.81,110
11:21:38,40896.81,42
11:21:38,40896.81,-30
11:21:38,40896.81,-104
11:21:38,40896.81,-139
11:21:38,40896.81,-247
11:21:38,40896.81,-254
11:21:38,40896.81,-325
11:21:38,40896.81,-239
11:21:38,40896.81,-267
11:21:38,40896.81,-223
11:21:38,40896.81,-213
11:21:38,40896.81,-117
11:21:38,40896.81,-156
11:21:38,40896.81,-124
11:21:38,40896.81,-229
11:21:38,40896.81,-137
11:21:38,40896.81,-189
11:21:38,40896.81,-130
11:21:38,40896.81,-146
11:21:38,40896.81,-132
11:21:38,40896.81,-105
11:21:38,40896.81,-36
11:21:38,40896.81,-68
11:21:38,40896.81,-52
11:21:38,40896.81,-142
11:21:38,40896.81,-59
11:21:38,40896.81,-98
11:21:39,40896.81,-61
11:21:39,40896.81,-55
11:21:39,40896.81,-57
11:21:39,40896.81,-96
11:21:39,40896.81,-6
11:21:39,40896.81,101
11:21:39,40896.81,259
