"
time",,values
11:24:41,41081.04,-70
11:24:41,41081.05,-26
11:24:41,41081.06,49
11:24:41,41081.07,108
11:24:41,41081.08,143
11:24:41,41081.09,129
11:24:41,41081.10,65
11:24:41,41081.11,-17
11:24:41,41081.12,-74
11:24:41,41081.13,-75
11:24:41,41081.14,-42
11:24:41,41081.15,-11
11:24:41,41081.16,10
11:24:41,41081.16,1
11:24:41,41081.17,-20
11:24:41,41081.18,-37
11:24:41,41081.19,-25
11:24:41,41081.20,131
11:24:41,41081.21,492
11:24:41,41081.22,715
11:24:41,41081.23,630
11:24:41,41081.24,310
11:24:41,41081.25,43
11:24:41,41081.26,-45
11:24:41,41081.27,-91
11:24:41,41081.28,-57
11:24:41,41081.29,-35
11:24:41,41081.30,-53
11:24:41,41081.31,-105
11:24:41,41081.32,-146
11:24:41,41081.33,-158
11:24:41,41081.34,-154
11:24:41,41081.35,-154
11:24:41,41081.36,-194
11:24:41,41081.37,-255
11:24:41,41081.38,-323
11:24:41,41081.39,-350
11:24:41,41081.40,-327
11:24:41,41081.41,-267
11:24:41,41081.42,-196
11:24:41,41081.43,-122
11:24:41,41081.44,-63
11:24:41,41081.45,-16
11:24:41,41081.46,2
11:24:41,41081.47,14
11:24:41,41081.48,57
11:24:41,41081.49,101
11:24:41,41081.50,134
11:24:41,41081.51,125
11:24:41,41081.52,94
11:24:41,41081.53,44
11:24:41,41081.54,-3
11:24:41,41081.55,17
11:24:41,41081.56,97
11:24:41,41081.57,179
11:24:41,41081.58,205
11:24:41,41081.59,139
11:24:41,41081.60,46
11:24:41,41081.61,-29
11:24:41,41081.62,-53
11:24:41,41081.63,-46
11:24:41,41081.65,-54
11:24:41,41081.66,-65
11:24:41,41081.67,-94
11:24:41,41081.68,-114
11:24:41,41081.69,-105
11:24:41,41081.70,-72
11:24:41,41081.70,3
11:24:41,41081.71,85
11:24:41,41081.73,151
11:24:41,41081.73,172
11:24:41,41081.75,134
11:24:41,41081.75,74
11:24:41,41081.77,31
11:24:41,41081.77,43
11:24:41,41081.79,86
11:24:41,41081.80,104
11:24:41,41081.80,83
11:24:41,41081.82,81
11:24:41,41081.82,298
11:24:41,41081.84,602
11:24:41,41081.84,736
11:24:41,41081.86,511
11:24:41,41081.86,232
11:24:41,41081.88,72
11:24:41,41081.89,-14
11:24:41,41081.89,-177
11:24:41,41081.91,-311
11:24:41,41081.91,-369
11:24:41,41081.93,-352
11:24:41,41081.93,-296
11:24:41,41081.95,-241
11:24:41,41081.95,-197
11:24:41,41081.96,-199
11:24:41,41081.98,-204
11:24:41,41081.98,-199
11:24:41,41082.00,-164
11:24:42,41082.00,-85
11:24:42,41082.02,-45
11:24:42,41082.02,-54
11:24:42,41082.04,-107
11:24:42,41082.05,-142
11:24:42,41082.05,-145
11:24:42,41082.07,-120
11:24:42,41082.07,-36
11:24:42,41082.09,57
11:24:42,41082.09,109
11:24:42,41082.11,99
11:24:42,41082.11,49
11:24:42,41082.13,24
11:24:42,41082.14,34
11:24:42,41082.14,56
11:24:42,41082.16,65
11:24:42,41082.16,27
11:24:42,41082.18,-41
11:24:42,41082.19,-105
11:24:42,41082.20,-144
11:24:42,41082.21,-115
11:24:42,41082.21,-47
11:24:42,41082.23,44
11:24:42,41082.23,106
11:24:42,41082.25,120
11:24:42,41082.25,115
11:24:42,41082.27,225
11:24:42,41082.27,553
11:24:42,41082.29,810
11:24:42,41082.30,719
11:24:42,41082.30,382
11:24:42,41082.32,85
11:24:42,41082.32,-15
11:24:42,41082.34,-129
11:24:42,41082.34,-222
11:24:42,41082.36,-256
11:24:42,41082.36,-232
11:24:42,41082.38,-188
11:24:42,41082.39,-171
11:24:42,41082.39,-195
11:24:42,41082.41,-234
11:24:42,41082.41,-260
11:24:42,41082.43,-250
11:24:42,41082.43,-230
11:24:42,41082.45,-207
11:24:42,41082.45,-196
11:24:42,41082.46,-223
11:24:42,41082.48,-247
11:24:42,41082.48,-220
11:24:42,41082.50,-116
11:24:42,41082.50,23
11:24:42,41082.52,129
11:24:42,41082.52,191
11:24:42,41082.54,206
11:24:42,41082.55,188
11:24:42,41082.55,143
11:24:42,41082.57,93
11:24:42,41082.57,66
11:24:42,41082.59,44
11:24:42,41082.59,6
11:24:42,41082.61,-39
11:24:42,41082.61,-98
11:24:42,41082.63,-134
11:24:42,41082.64,-136
11:24:42,41082.64,-83
11:24:42,41082.66,3
11:24:42,41082.66,62
11:24:42,41082.68,69
11:24:42,41082.68,28
11:24:42,41082.70,-15
11:24:42,41082.71,-32
11:24:42,41082.72,-30
11:24:42,41082.73,-10
11:24:42,41082.74,26
11:24:42,41082.75,47
11:24:42,41082.76,51
11:24:42,41082.77,51
11:24:42,41082.78,74
11:24:42,41082.79,118
11:24:42,41082.80,167
11:24:42,41082.81,212
11:24:42,41082.82,226
11:24:42,41082.83,182
11:24:42,41082.84,80
11:24:42,41082.85,-10
11:24:42,41082.86,-53
11:24:42,41082.87,-46
11:24:42,41082.88,-34
11:24:42,41082.89,-35
11:24:42,41082.90,-51
11:24:42,41082.91,-69
11:24:42,41082.92,-74
11:24:42,41082.93,-37
11:24:42,41082.94,37
11:24:42,41082.95,91
11:24:42,41082.96,118
11:24:42,41082.97,89
